RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Reason for exiting company
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,High Service Charges/Rate of Interest
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,Long Response Times
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,High Service Charges/Rate of Interest
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,Inexperienced Staff / Bad customer service 
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,Long Response Times
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,Inexperienced Staff / Bad customer service 
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,Excess Documents Required
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,High Service Charges/Rate of Interest
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,Inexperienced Staff / Bad customer service 
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,Inexperienced Staff / Bad customer service 
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,Long Response Times
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,Long Response Times
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,Long Response Times
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,Inexperienced Staff / Bad customer service 
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,Inexperienced Staff / Bad customer service 
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,Excess Documents Required
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1,High Service Charges/Rate of Interest
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,Long Response Times
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1,Inexperienced Staff / Bad customer service 
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,Long Response Times
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,High Service Charges/Rate of Interest
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,High Service Charges/Rate of Interest
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,Inexperienced Staff / Bad customer service 
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,Long Response Times
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,High Service Charges/Rate of Interest
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,Excess Documents Required
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1,Excess Documents Required
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,Long Response Times
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,High Service Charges/Rate of Interest
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,Inexperienced Staff / Bad customer service 
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,Excess Documents Required
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,High Service Charges/Rate of Interest
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1,Inexperienced Staff / Bad customer service 
156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,Long Response Times
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,Long Response Times
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,Excess Documents Required
169,15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,Inexperienced Staff / Bad customer service 
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,Inexperienced Staff / Bad customer service 
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,High Service Charges/Rate of Interest
185,15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,8546.87,1,Excess Documents Required
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1,Inexperienced Staff / Bad customer service 
203,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,Inexperienced Staff / Bad customer service 
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,Long Response Times
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,Excess Documents Required
209,15684181,Hackett,643,France,Male,45,5,0.0,1,1,0,142513.5,1,Inexperienced Staff / Bad customer service 
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,High Service Charges/Rate of Interest
219,15659366,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1,Long Response Times
220,15774854,Fuller,592,France,Male,54,8,0.0,1,1,1,28737.71,1,Excess Documents Required
224,15733247,Stevenson,850,France,Male,33,10,0.0,1,1,0,4861.72,1,Excess Documents Required
225,15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,High Service Charges/Rate of Interest
228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,Excess Documents Required
229,15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,Long Response Times
236,15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1,Inexperienced Staff / Bad customer service 
238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,High Service Charges/Rate of Interest
239,15794056,Johnston,668,France,Female,46,2,0.0,3,1,0,89048.46,1,Excess Documents Required
244,15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1,Long Response Times
246,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23,1,Excess Documents Required
250,15772423,Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1,High Service Charges/Rate of Interest
269,15717398,Fielding,549,Spain,Female,39,7,0.0,1,0,0,81259.25,1,Inexperienced Staff / Bad customer service 
272,15619955,Bevington,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1,Excess Documents Required
277,15694456,Toscani,756,France,Male,62,3,0.0,1,1,1,11199.04,1,High Service Charges/Rate of Interest
280,15782210,K'ung,714,France,Male,46,1,0.0,1,1,0,152167.79,1,High Service Charges/Rate of Interest
283,15643024,Huang,479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1,High Service Charges/Rate of Interest
294,15590241,Chuang,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1,Excess Documents Required
298,15684173,Chang,687,Spain,Female,44,7,0.0,3,1,0,155853.52,1,High Service Charges/Rate of Interest
307,15594898,Hewitt,731,France,Male,43,2,0.0,1,1,1,170034.95,1,High Service Charges/Rate of Interest
309,15773972,Balashov,614,France,Male,50,4,137104.47,1,1,0,127166.49,1,Excess Documents Required
317,15662736,Doyle,559,France,Male,49,2,147069.78,1,1,0,120540.83,1,Excess Documents Required
323,15694408,Lung,749,France,Male,40,1,139290.41,1,1,0,182855.42,1,Excess Documents Required
328,15736008,Hunter,644,France,Female,46,9,95441.27,1,1,0,108761.05,1,Inexperienced Staff / Bad customer service 
334,15728669,Knowles,584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1,Excess Documents Required
336,15697441,Hsueh,485,France,Male,29,7,182123.79,1,1,0,116828.51,1,Excess Documents Required
339,15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1,Inexperienced Staff / Bad customer service 
